CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,5.602836608886719e-05,96
3,0,3,True,3,,0,3,and_direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,4.8160552978515625e-05,96
3,0,3,True,3,,0,3,and_mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,0.00012683868408203125,96
3,0,3,True,3,,0,3,and_affine_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.010077953338623047,96
16,8,3,True,20,,0,10,sshr_h,3,4,parity_n3,0,9.040000000000001,,3,0.0003521442413330078,96
18,12,3,True,18,,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,3.266334533691406e-05,E8
21,12,3,True,21,,0,9,and_direct_anf,3,4,majority_n3,0,13.245,,3,3.2901763916015625e-05,E8
21,12,3,True,21,,0,9,and_mcts_factor,3,4,majority_n3,0,13.245,,3,9.894371032714844e-05,E8
11,4,3,True,11,,0,6,sshr_h,3,4,majority_n3,0,4.665,,3,0.0003578662872314453,E8
18,12,3,True,18,,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,4.220008850097656e-05,E8
21,12,3,True,21,,0,9,and_direct_anf,3,4,threshold2_n3,0,13.245,,3,6.508827209472656e-05,E8
21,12,3,True,21,,0,9,and_mcts_factor,3,4,threshold2_n3,0,13.245,,3,0.00015592575073242188,E8
12,4,3,True,12,,0,8,and_affine_nmcts,3,4,threshold2_n3,0,4.74,,2,0.010623931884765625,E8
11,4,3,True,11,,0,6,sshr_h,3,4,threshold2_n3,0,4.665,,3,7.176399230957031e-05,E8
4,0,4,True,4,,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,3.5762786865234375e-05,6996
4,0,4,True,4,,0,4,and_direct_anf,4,5,parity_n4,0,0.26,,4,3.886222839355469e-05,6996
4,0,4,True,4,,0,4,and_mcts_factor,4,5,parity_n4,0,0.26,,4,8.606910705566406e-05,6996
12,4,3,True,12,,0,8,and_affine_nmcts,3,4,majority_n3,0,4.74,,2,0.015323877334594727,E8
20,8,4,True,24,,0,14,sshr_h,4,5,parity_n4,0,9.3,,4,0.0028858184814453125,6996
66,88,5,True,66,,0,5,direct_anf,4,5,majority_n4,1,93.67999999999999,,5,5.1975250244140625e-05,E880
71,44,5,True,71,,0,27,and_direct_anf,4,5,majority_n4,2,52.175000000000004,,5,4.696846008300781e-05,E880
4,0,4,True,4,,0,4,and_affine_nmcts,4,5,parity_n4,0,0.26,,4,0.012273788452148438,6996
