CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,and_fprm_greedy,3,4,parity_n3,0,0.19499999999999998,,3,0.000125885009765625,96
3,0,3,True,3,0,3,and_direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,4.1961669921875e-05,96
3,0,3,True,3,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,3.0040740966796875e-05,96
3,0,3,True,3,0,3,and_resource_beam_only,3,4,parity_n3,0,0.19499999999999998,,3,0.0004990100860595703,96
3,0,3,True,3,0,3,and_fprm_linear_pair,3,4,parity_n3,0,0.19499999999999998,,3,0.00019407272338867188,96
3,0,3,True,3,0,3,and_affine_greedy,3,4,parity_n3,0,0.19499999999999998,,3,0.0006959438323974609,96
3,0,3,True,3,0,3,and_resource_heuristic,3,4,parity_n3,0,0.19499999999999998,,3,0.0008161067962646484,96
3,0,3,True,3,0,3,and_fprm_root_beam,3,4,parity_n3,0,0.19499999999999998,,3,0.00012493133544921875,96
3,0,3,True,3,0,3,and_affine_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.01680302619934082,96
3,0,3,True,3,0,3,and_mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,9.298324584960938e-05,96
21,12,3,True,21,0,9,and_fprm_greedy,3,4,majority_n3,0,13.245,,3,0.0001780986785888672,E8
3,0,3,True,3,0,3,and_resource_no_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0013470649719238281,96
18,12,3,True,18,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,4.100799560546875e-05,E8
21,12,3,True,21,0,9,and_mcts_factor,3,4,majority_n3,0,13.245,,3,9.5367431640625e-05,E8
21,12,3,True,21,0,9,and_fprm_root_beam,3,4,majority_n3,0,13.245,,3,0.0002770423889160156,E8
19,8,3,True,21,1,13,and_fprm_linear_pair,3,5,majority_n3,1,11.205,,5,0.0004601478576660156,E8
21,12,3,True,21,0,9,and_direct_anf,3,4,majority_n3,0,13.245,,3,0.00015115737915039062,E8
12,4,3,True,12,0,8,and_affine_greedy,3,4,majority_n3,0,4.74,,2,0.0010001659393310547,E8
12,4,3,True,12,0,8,and_affine_nmcts,3,4,majority_n3,0,4.74,,2,0.003734111785888672,E8
19,8,3,True,21,1,13,and_resource_beam_only,3,5,majority_n3,1,11.205,,5,0.0008561611175537109,E8
21,12,3,True,21,0,9,and_fprm_root_beam,3,4,threshold2_n3,0,13.245,,3,0.00031685829162597656,E8
21,12,3,True,21,0,9,and_direct_anf,3,4,threshold2_n3,0,13.245,,3,4.410743713378906e-05,E8
12,4,3,True,12,0,8,and_resource_no_mcts,3,4,majority_n3,0,4.74,,2,0.0019540786743164062,E8
12,4,3,True,12,0,8,and_resource_heuristic,3,4,majority_n3,0,4.74,,2,0.001222848892211914,E8
18,12,3,True,18,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,3.2901763916015625e-05,E8
21,12,3,True,21,0,9,and_fprm_greedy,3,4,threshold2_n3,0,13.245,,3,0.0002999305725097656,E8
19,8,3,True,21,1,13,and_fprm_linear_pair,3,5,threshold2_n3,1,11.205,,5,0.0004379749298095703,E8
19,8,3,True,21,1,13,and_resource_beam_only,3,5,threshold2_n3,1,11.205,,5,0.0008759498596191406,E8
12,4,3,True,12,0,8,and_affine_greedy,3,4,threshold2_n3,0,4.74,,2,0.0010819435119628906,E8
21,12,3,True,21,0,9,and_mcts_factor,3,4,threshold2_n3,0,13.245,,3,9.918212890625e-05,E8
12,4,3,True,12,0,8,and_affine_nmcts,3,4,threshold2_n3,0,4.74,,2,0.004157304763793945,E8
12,4,3,True,12,0,8,and_resource_no_mcts,3,4,threshold2_n3,0,4.74,,2,0.001987934112548828,E8
12,4,3,True,12,0,8,and_resource_heuristic,3,4,threshold2_n3,0,4.74,,2,0.0011382102966308594,E8
4,0,4,True,4,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,0.00015401840209960938,6996
4,0,4,True,4,0,4,and_direct_anf,4,5,parity_n4,0,0.26,,4,0.0001239776611328125,6996
4,0,4,True,4,0,4,and_affine_greedy,4,5,parity_n4,0,0.26,,4,0.0011339187622070312,6996
4,0,4,True,4,0,4,and_fprm_greedy,4,5,parity_n4,0,0.26,,4,0.0003058910369873047,6996
4,0,4,True,4,0,4,and_fprm_root_beam,4,5,parity_n4,0,0.26,,4,0.00021791458129882812,6996
4,0,4,True,4,0,4,and_resource_beam_only,4,5,parity_n4,0,0.26,,4,0.0017540454864501953,6996
4,0,4,True,4,0,4,and_resource_heuristic,4,5,parity_n4,0,0.26,,4,0.0012280941009521484,6996
4,0,4,True,4,0,4,and_fprm_linear_pair,4,5,parity_n4,0,0.26,,4,0.0004508495330810547,6996
4,0,4,True,4,0,4,and_mcts_factor,4,5,parity_n4,0,0.26,,4,0.00021696090698242188,6996
4,0,4,True,4,0,4,and_affine_nmcts,4,5,parity_n4,0,0.26,,4,0.004419088363647461,6996
4,0,4,True,4,0,4,and_resource_no_mcts,4,5,parity_n4,0,0.26,,4,0.0029540061950683594,6996
71,44,5,True,71,0,27,and_direct_anf,4,5,majority_n4,2,52.175000000000004,,5,4.506111145019531e-05,E880
59,32,5,True,68,1,34,and_fprm_greedy,4,6,majority_n4,2,39.720000000000006,,8,0.0014050006866455078,E880
66,88,5,True,66,0,5,direct_anf,4,5,majority_n4,1,93.67999999999999,,5,4.076957702636719e-05,E880
61,32,5,True,61,1,25,and_mcts_factor,4,6,majority_n4,2,39.605,,5,0.0015189647674560547,E880
61,32,5,True,61,1,25,and_fprm_root_beam,4,6,majority_n4,2,39.605,,5,0.0018382072448730469,E880
49,24,5,True,58,1,32,and_fprm_linear_pair,4,6,majority_n4,2,31.150000000000002,,8,0.005761861801147461,E880
49,24,5,True,58,1,32,and_affine_greedy,4,6,majority_n4,2,31.150000000000002,,8,0.007184267044067383,E880
49,24,5,True,58,1,32,and_affine_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.1586449146270752,E880
49,24,5,True,58,1,32,and_resource_heuristic,4,6,majority_n4,2,31.150000000000002,,8,0.008708715438842773,E880
61,36,7,True,61,0,25,and_direct_anf,4,5,threshold2_n4,2,43.605,,7,4.696846008300781e-05,FEE8
46,48,7,True,46,0,7,direct_anf,4,5,threshold2_n4,1,52.6,,7,0.00013709068298339844,FEE8
49,24,5,True,58,1,32,and_resource_no_mcts,4,6,majority_n4,2,31.150000000000002,,8,0.01936197280883789,E880
49,24,5,True,58,1,32,and_resource_beam_only,4,6,majority_n4,2,31.150000000000002,,8,0.007447957992553711,E880
59,32,7,True,59,1,25,and_fprm_root_beam,4,6,threshold2_n4,2,39.495,,7,0.0015718936920166016,FEE8
49,24,7,True,49,1,23,and_fprm_linear_pair,4,6,threshold2_n4,2,30.925,,7,0.0060558319091796875,FEE8
59,32,7,True,59,1,25,and_fprm_greedy,4,6,threshold2_n4,2,39.495,,7,0.0014948844909667969,FEE8
49,24,7,True,51,1,25,and_resource_heuristic,4,6,threshold2_n4,2,30.975,,7,0.008076906204223633,FEE8
49,24,7,True,51,1,25,and_affine_greedy,4,6,threshold2_n4,2,30.975,,7,0.0077440738677978516,FEE8
49,24,7,True,49,1,23,and_resource_beam_only,4,6,threshold2_n4,2,30.925,,7,0.008146286010742188,FEE8
59,32,7,True,59,1,25,and_mcts_factor,4,6,threshold2_n4,2,39.495,,7,0.0006661415100097656,FEE8
