CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,4.9114227294921875e-05,96
3,0,3,True,3,0,3,and_direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,3.695487976074219e-05,96
3,0,3,True,3,0,3,and_mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,9.489059448242188e-05,96
3,0,3,True,3,0,3,and_affine_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.006691932678222656,96
3,0,3,True,3,0,3,and_resource_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.004486799240112305,96
52,32,3,True,64,0,32,and_cube_beam,3,4,parity_n3,1,37.36,,3,0.00011706352233886719,96
3,0,3,True,3,0,3,and_esop_milp,3,4,parity_n3,0,0.19499999999999998,,3,0.014589786529541016,96
16,8,3,True,20,0,10,sshr_h,3,4,parity_n3,0,9.040000000000001,,3,0.00024127960205078125,96
18,12,3,True,18,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,2.7179718017578125e-05,E8
21,12,3,True,21,0,9,and_direct_anf,3,4,majority_n3,0,13.245,,3,2.193450927734375e-05,E8
21,12,3,True,21,0,9,and_mcts_factor,3,4,majority_n3,0,13.245,,3,7.605552673339844e-05,E8
12,4,3,True,12,0,8,and_affine_nmcts,3,4,majority_n3,0,4.74,,2,0.005379915237426758,E8
12,4,3,True,12,0,8,and_resource_nmcts,3,4,majority_n3,0,4.74,,2,0.00568389892578125,E8
27,16,3,True,33,0,17,and_cube_beam,3,4,majority_n3,1,19.745,,3,0.00016307830810546875,E8
11,4,3,True,11,0,6,sshr_h,3,4,majority_n3,0,4.665,,3,0.00025391578674316406,E8
18,12,3,True,18,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,3.218650817871094e-05,E8
21,12,3,True,21,0,9,and_direct_anf,3,4,threshold2_n3,0,13.245,,3,3.3855438232421875e-05,E8
21,12,3,True,21,0,9,and_mcts_factor,3,4,threshold2_n3,0,13.245,,3,0.00010204315185546875,E8
21,12,3,True,21,0,9,and_esop_milp,3,4,majority_n3,0,13.245,,3,0.019700050354003906,E8
12,4,3,True,12,0,8,and_affine_nmcts,3,4,threshold2_n3,0,4.74,,2,0.0077228546142578125,E8
27,16,3,True,33,0,17,and_cube_beam,3,4,threshold2_n3,1,19.745,,3,0.00031185150146484375,E8
12,4,3,True,12,0,8,and_resource_nmcts,3,4,threshold2_n3,0,4.74,,2,0.0054399967193603516,E8
11,4,3,True,11,0,6,sshr_h,3,4,threshold2_n3,0,4.665,,3,5.0067901611328125e-05,E8
4,0,4,True,4,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,2.4080276489257812e-05,6996
4,0,4,True,4,0,4,and_direct_anf,4,5,parity_n4,0,0.26,,4,2.4080276489257812e-05,6996
4,0,4,True,4,0,4,and_mcts_factor,4,5,parity_n4,0,0.26,,4,5.888938903808594e-05,6996
4,0,4,True,4,0,4,and_affine_nmcts,4,5,parity_n4,0,0.26,,4,0.005449056625366211,6996
152,96,4,True,184,0,88,and_cube_beam,4,5,parity_n4,2,109.72,,4,0.0021288394927978516,6996
4,0,4,True,4,0,4,and_resource_nmcts,4,5,parity_n4,0,0.26,,4,0.007610797882080078,6996
20,8,4,True,24,0,14,sshr_h,4,5,parity_n4,0,9.3,,4,0.0017621517181396484,6996
66,88,5,True,66,0,5,direct_anf,4,5,majority_n4,1,93.67999999999999,,5,3.1948089599609375e-05,E880
71,44,5,True,71,0,27,and_direct_anf,4,5,majority_n4,2,52.175000000000004,,5,2.8848648071289062e-05,E880
61,32,5,True,61,1,25,and_mcts_factor,4,6,majority_n4,2,39.605,,5,0.0044629573822021484,E880
21,12,3,True,21,0,9,and_esop_milp,3,4,threshold2_n3,0,13.245,,3,0.02049398422241211,E8
64,40,5,True,72,0,32,and_cube_beam,4,5,majority_n4,2,47.96,,5,0.001043081283569336,E880
34,44,5,True,36,0,9,sshr_h,4,5,majority_n4,1,47.99,,5,0.0019540786743164062,E880
46,48,7,True,46,0,7,direct_anf,4,5,threshold2_n4,1,52.6,,7,5.125999450683594e-05,FEE8
61,36,7,True,61,0,25,and_direct_anf,4,5,threshold2_n4,2,43.605,,7,4.9114227294921875e-05,FEE8
4,0,4,True,4,0,4,and_esop_milp,4,5,parity_n4,0,0.26,,4,0.01508188247680664,6996
59,32,7,True,59,1,25,and_mcts_factor,4,6,threshold2_n4,2,39.495,,7,0.002348184585571289,FEE8
53,32,7,True,68,0,36,and_cube_beam,4,5,threshold2_n4,2,39.5,,7,0.002145051956176758,FEE8
5,0,5,True,5,0,5,direct_anf,5,6,parity_n5,0,0.325,,5,5.602836608886719e-05,96696996
5,0,5,True,5,0,5,and_direct_anf,5,6,parity_n5,0,0.325,,5,5.364418029785156e-05,96696996
5,0,5,True,5,0,5,and_mcts_factor,5,6,parity_n5,0,0.325,,5,9.584426879882812e-05,96696996
35,36,7,True,43,0,19,sshr_h,4,5,threshold2_n4,1,40.235,,7,0.0020673274993896484,FEE8
5,0,5,True,5,0,5,and_affine_nmcts,5,6,parity_n5,0,0.325,,5,0.00928497314453125,96696996
400,256,5,True,480,0,224,and_cube_beam,5,6,parity_n5,3,287.44,,5,0.012620925903320312,96696996
190,280,15,True,190,0,15,direct_anf,5,6,majority_n5,1,292.6,,15,9.012222290039062e-05,FEE8E880
225,140,15,True,225,0,85,and_direct_anf,5,6,majority_n5,2,157.225,,15,6.985664367675781e-05,FEE8E880
5,0,5,True,5,0,5,and_resource_nmcts,5,6,parity_n5,0,0.325,,5,0.020396947860717773,96696996
108,96,5,True,132,0,54,sshr_h,5,6,parity_n5,1,104.84,,5,0.02330183982849121,96696996
5,0,5,True,5,0,5,and_esop_milp,5,6,parity_n5,0,0.325,,5,0.04144787788391113,96696996
146,92,15,True,176,0,84,and_cube_beam,5,6,majority_n5,3,107.32000000000001,,15,0.005282878875732422,FEE8E880
174,84,15,True,174,1,72,and_mcts_factor,5,7,majority_n5,2,98.28999999999999,,15,0.12838029861450195,FEE8E880
88,80,15,True,114,0,56,sshr_h,5,6,majority_n5,1,87.78999999999999,,15,0.025406837463378906,FEE8E880
110,160,15,True,110,0,15,direct_anf,5,6,threshold2_n5,1,168.20000000000002,,15,8.392333984375e-05,FFFEFEE8
165,100,15,True,165,0,65,and_direct_anf,5,6,threshold2_n5,2,113.725,,15,7.510185241699219e-05,FFFEFEE8
143,80,15,True,143,1,59,and_mcts_factor,5,7,threshold2_n5,2,92.455,,15,0.06609678268432617,FFFEFEE8
49,24,7,True,51,1,25,and_affine_nmcts,4,6,threshold2_n4,2,30.975,,7,0.43655920028686523,FEE8
49,24,7,True,51,1,25,and_resource_nmcts,4,6,threshold2_n4,2,30.975,,7,0.450559139251709,FEE8
49,24,5,True,58,1,32,and_affine_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.47490501403808594,E880
132,80,15,True,166,0,86,and_cube_beam,5,6,threshold2_n5,3,94.63,,15,0.018284082412719727,FFFEFEE8
53,32,7,True,68,0,36,and_esop_milp,4,5,threshold2_n4,2,39.5,,7,0.476818323135376,FEE8
6,0,6,True,6,0,6,direct_anf,6,7,parity_n6,0,0.38999999999999996,,6,8.20159912109375e-05,6996966996696996
6,0,6,True,6,0,6,and_direct_anf,6,7,parity_n6,0,0.38999999999999996,,6,8.0108642578125e-05,6996966996696996
6,0,6,True,6,0,6,and_mcts_factor,6,7,parity_n6,0,0.38999999999999996,,6,0.00015807151794433594,6996966996696996
6,0,6,True,6,0,6,and_affine_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.0063250064849853516,6996966996696996
49,24,5,True,58,1,32,and_resource_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.5025408267974854,E880
40,64,15,True,59,0,28,sshr_h,5,6,threshold2_n5,1,68.765,,15,0.027983903884887695,FFFEFEE8
6,0,6,True,6,0,6,and_resource_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.08037304878234863,6996966996696996
53,32,5,True,61,0,29,and_esop_milp,4,5,majority_n4,2,39.324999999999996,,5,0.6009171009063721,E880
150,360,15,True,150,0,15,direct_anf,6,7,majority_n6,1,370.4,,15,0.0001399517059326172,FEE8E880E8808000
285,180,15,True,285,0,105,and_direct_anf,6,7,majority_n6,2,200.72500000000002,,15,0.00010919570922851562,FEE8E880E8808000
992,640,6,True,1184,0,544,and_cube_beam,6,7,parity_n6,4,710.88,,6,0.10077834129333496,6996966996696996
70,32,15,True,70,1,34,and_affine_nmcts,5,7,majority_n5,2,40.19,,6,0.8630609512329102,FEE8E880
219,108,15,True,219,1,87,and_mcts_factor,6,8,majority_n6,2,124.915,,15,0.3158438205718994,FEE8E880E8808000
325,208,15,True,371,0,163,and_cube_beam,6,7,majority_n6,4,236.195,,15,0.04529404640197754,FEE8E880E8808000
120,96,6,True,144,0,66,sshr_h,6,7,parity_n6,1,105.61999999999999,,6,0.39881300926208496,6996966996696996
128,184,15,True,154,0,62,sshr_h,6,7,majority_n6,2,196.05,,15,0.03696298599243164,FEE8E880E8808000
430,680,35,True,430,0,35,direct_anf,6,7,threshold3_n6,1,706.0000000000001,,35,0.00020194053649902344,FFFEFEE8FEE8E880
545,340,35,True,545,0,205,and_direct_anf,6,7,threshold3_n6,2,376.02500000000003,,35,0.00022912025451660156,FFFEFEE8FEE8E880
219,108,15,True,219,1,87,and_affine_nmcts,6,8,majority_n6,2,124.915,,15,0.4417128562927246,FEE8E880E8808000
6,0,6,True,6,0,6,and_esop_milp,6,7,parity_n6,0,0.38999999999999996,,6,0.5718748569488525,6996966996696996
70,32,15,True,70,1,34,and_resource_nmcts,5,7,majority_n5,2,40.19,,6,1.0858118534088135,FEE8E880
326,208,35,True,408,0,200,and_cube_beam,6,7,threshold3_n6,4,237.16,,35,0.05063009262084961,FFFEFEE8FEE8E880
219,108,15,True,219,1,87,and_resource_nmcts,6,8,majority_n6,2,124.915,,15,0.8049900531768799,FEE8E880E8808000
141,184,35,True,175,0,83,sshr_h,6,7,threshold3_n6,2,197.095,,35,0.43962693214416504,FFFEFEE8FEE8E880
81,80,9,True,81,0,9,direct_anf,6,7,mux_2_4,1,86.545,,9,9.417533874511719e-05,FEDCBA9876543210
81,48,9,True,81,0,33,and_direct_anf,6,7,mux_2_4,1,54.785,,9,8.320808410644531e-05,FEDCBA9876543210
67,36,9,True,67,1,29,and_mcts_factor,6,8,mux_2_4,1,41.975,,9,0.006813764572143555,FEDCBA9876543210
67,36,9,True,67,1,29,and_affine_nmcts,6,8,mux_2_4,1,41.975,,9,0.020989179611206055,FEDCBA9876543210
67,36,9,True,67,1,29,and_resource_nmcts,6,8,mux_2_4,1,41.975,,9,0.057808876037597656,FEDCBA9876543210
110,68,9,True,128,0,60,and_cube_beam,6,7,mux_2_4,2,78.92,,9,0.03687596321105957,FEDCBA9876543210
375,192,35,True,375,1,155,and_mcts_factor,6,8,threshold3_n6,2,218.175,,35,1.3523738384246826,FFFEFEE8FEE8E880
56,60,9,True,78,0,45,sshr_h,6,7,mux_2_4,1,65.86000000000001,,9,0.020584821701049805,FEDCBA9876543210
34,36,3,True,34,0,3,direct_anf,4,5,adder_carry_w2,1,39.9,,3,4.1961669921875e-05,EC80
33,20,3,True,33,0,13,and_direct_anf,4,5,adder_carry_w2,1,23.945,,3,3.719329833984375e-05,EC80
31,16,3,True,31,1,13,and_mcts_factor,4,6,adder_carry_w2,1,19.834999999999997,,3,0.001035928726196289,EC80
225,132,35,True,238,1,100,and_affine_nmcts,6,8,threshold3_n6,2,149.57,,16,1.3916950225830078,FFFEFEE8FEE8E880
31,16,3,True,31,1,13,and_affine_nmcts,4,6,adder_carry_w2,1,19.834999999999997,,3,0.22398996353149414,EC80
33,20,3,True,33,0,13,and_cube_beam,4,5,adder_carry_w2,1,23.945,,3,0.0013980865478515625,EC80
31,16,3,True,31,1,13,and_resource_nmcts,4,6,adder_carry_w2,1,19.834999999999997,,3,0.23480916023254395,EC80
34,24,3,True,42,0,19,sshr_h,4,5,adder_carry_w2,1,28.18,,3,0.00951695442199707,EC80
74,132,7,True,74,0,7,direct_anf,6,7,adder_carry_w3,1,138.14000000000001,,7,9.179115295410156e-05,FEFCF8F0E0C08000
109,68,7,True,109,0,41,and_direct_anf,6,7,adder_carry_w3,2,78.405,,7,8.0108642578125e-05,FEFCF8F0E0C08000
33,20,3,True,33,0,13,and_esop_milp,4,5,adder_carry_w2,1,23.945,,3,0.068695068359375,EC80
97,48,7,True,97,1,39,and_mcts_factor,6,8,adder_carry_w3,2,57.725,,7,0.048436880111694336,FEFCF8F0E0C08000
97,48,7,True,97,1,39,and_affine_nmcts,6,8,adder_carry_w3,2,57.725,,7,0.08510327339172363,FEFCF8F0E0C08000
229,144,7,True,269,0,125,and_cube_beam,6,7,adder_carry_w3,4,166.445,,7,0.04259800910949707,FEFCF8F0E0C08000
97,48,7,True,97,1,39,and_resource_nmcts,6,8,adder_carry_w3,2,57.725,,7,0.17905497550964355,FEFCF8F0E0C08000
48,48,7,True,56,0,24,sshr_h,6,7,adder_carry_w3,1,53.00000000000001,,7,0.42954301834106445,FEFCF8F0E0C08000
12,8,2,True,12,0,2,direct_anf,4,5,mul_w2_bit1,0,8.68,,2,3.814697265625e-05,6AC0
14,8,2,True,14,0,6,and_direct_anf,4,5,mul_w2_bit1,0,8.830000000000002,,2,3.504753112792969e-05,6AC0
