CNOT,T,anf_terms,budget,candidate_top_k,correct,depth,explicit_ancilla,gates,max_polarities,mcts_simulations,method,model,n,n_qubits,name,neural_mcts_simulations,peak_ancilla,score,skipped,terms,time_s,truth_table_hex,variant
3,0,3,top8_s8_n12,8,True,3,0,3,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,3,4,parity_n3,12,0,0.19499999999999998,,3,0.013998985290527344,96,learned_prior
3,0,3,top8_s8_n12,8,True,3,0,3,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,3,4,parity_n3,12,0,0.19499999999999998,,3,0.0023758411407470703,96,learned_prior
12,4,3,top8_s8_n12,8,True,12,0,8,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,3,4,majority_n3,12,0,4.74,,2,0.003571033477783203,E8,learned_prior
12,4,3,top8_s8_n12,8,True,12,0,8,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,3,4,majority_n3,12,0,4.74,,2,0.0030279159545898438,E8,learned_prior
3,0,3,top8_s8_n12,8,True,3,0,3,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,3,4,parity_n3,12,0,0.19499999999999998,,3,0.020576000213623047,96,learned_prior
12,4,3,top8_s8_n12,8,True,12,0,8,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,3,4,threshold2_n3,12,0,4.74,,2,0.0017321109771728516,E8,learned_prior
12,4,3,top8_s8_n12,8,True,12,0,8,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,3,4,threshold2_n3,12,0,4.74,,2,0.005624055862426758,E8,learned_prior
4,0,4,top8_s8_n12,8,True,4,0,4,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,parity_n4,12,0,0.26,,4,0.0036351680755615234,6996,learned_prior
4,0,4,top8_s8_n12,8,True,4,0,4,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,parity_n4,12,0,0.26,,4,0.004296302795410156,6996,learned_prior
12,4,3,top8_s8_n12,8,True,12,0,8,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,3,4,majority_n3,12,0,4.74,,2,0.026564836502075195,E8,learned_prior
12,4,3,top8_s8_n12,8,True,12,0,8,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,3,4,threshold2_n3,12,0,4.74,,2,0.030668020248413086,E8,learned_prior
4,0,4,top8_s8_n12,8,True,4,0,4,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,parity_n4,12,0,0.26,,4,0.03319716453552246,6996,learned_prior
5,0,5,top8_s8_n12,8,True,5,0,5,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,5,6,parity_n5,12,0,0.325,,5,0.004446983337402344,96696996,learned_prior
5,0,5,top8_s8_n12,8,True,5,0,5,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,5,6,parity_n5,12,0,0.325,,5,0.010253190994262695,96696996,learned_prior
49,24,7,top8_s8_n12,8,True,51,1,25,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,threshold2_n4,12,2,30.975,,7,0.056713104248046875,FEE8,learned_prior
49,24,5,top8_s8_n12,8,True,58,1,32,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,majority_n4,12,2,31.150000000000002,,8,0.07475399971008301,E880,learned_prior
49,24,7,top8_s8_n12,8,True,49,1,23,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,threshold2_n4,12,2,30.925,,7,0.07039117813110352,FEE8,learned_prior
49,24,5,top8_s8_n12,8,True,58,1,32,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,majority_n4,12,2,31.150000000000002,,8,0.08854508399963379,E880,learned_prior
6,0,6,top8_s8_n12,8,True,6,0,6,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,7,parity_n6,12,0,0.38999999999999996,,6,0.0009260177612304688,6996966996696996,learned_prior
5,0,5,top8_s8_n12,8,True,5,0,5,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,5,6,parity_n5,12,0,0.325,,5,0.07596802711486816,96696996,learned_prior
6,0,6,top8_s8_n12,8,True,6,0,6,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,7,parity_n6,12,0,0.38999999999999996,,6,0.02806997299194336,6996966996696996,learned_prior
70,32,15,top8_s8_n12,8,True,70,1,34,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,5,7,majority_n5,12,2,40.19,,6,0.09735989570617676,FEE8E880,learned_prior
227,120,15,top8_s8_n12,8,True,227,1,89,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,8,majority_n6,12,2,137.375,,15,0.02775716781616211,FEE8E880E8808000,learned_prior
70,32,15,top8_s8_n12,8,True,70,1,34,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,5,7,majority_n5,12,2,40.19,,6,0.15105795860290527,FEE8E880,learned_prior
225,132,35,top8_s8_n12,8,True,238,1,100,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,8,threshold3_n6,12,2,149.57,,16,0.056572914123535156,FFFEFEE8FEE8E880,learned_prior
