CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
3,0,3,True,3,0,3,direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,4.291534423828125e-05,96
3,0,3,True,3,0,3,and_direct_anf,3,4,parity_n3,0,0.19499999999999998,,3,3.600120544433594e-05,96
3,0,3,True,3,0,3,and_mcts_factor,3,4,parity_n3,0,0.19499999999999998,,3,9.083747863769531e-05,96
3,0,3,True,3,0,3,and_fprm_mcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0005450248718261719,96
16,8,3,True,20,0,10,sshr_h,3,4,parity_n3,0,9.040000000000001,,3,0.00024819374084472656,96
18,12,3,True,18,0,3,direct_anf,3,4,majority_n3,0,13.02,,3,2.3126602172851562e-05,E8
18,12,3,True,18,0,3,and_direct_anf,3,4,majority_n3,0,13.02,,3,2.002716064453125e-05,E8
18,12,3,True,18,0,3,and_mcts_factor,3,4,majority_n3,0,13.02,,3,7.224082946777344e-05,E8
18,12,3,True,18,0,3,and_fprm_mcts,3,4,majority_n3,0,13.02,,3,0.0006482601165771484,E8
11,4,3,True,11,0,6,sshr_h,3,4,majority_n3,0,4.665,,3,4.38690185546875e-05,E8
18,12,3,True,18,0,3,direct_anf,3,4,threshold2_n3,0,13.02,,3,1.811981201171875e-05,E8
18,12,3,True,18,0,3,and_direct_anf,3,4,threshold2_n3,0,13.02,,3,1.8835067749023438e-05,E8
18,12,3,True,18,0,3,and_mcts_factor,3,4,threshold2_n3,0,13.02,,3,6.127357482910156e-05,E8
18,12,3,True,18,0,3,and_fprm_mcts,3,4,threshold2_n3,0,13.02,,3,0.0006339550018310547,E8
11,4,3,True,11,0,6,sshr_h,3,4,threshold2_n3,0,4.665,,3,3.910064697265625e-05,E8
4,0,4,True,4,0,4,direct_anf,4,5,parity_n4,0,0.26,,4,2.193450927734375e-05,6996
4,0,4,True,4,0,4,and_direct_anf,4,5,parity_n4,0,0.26,,4,2.3126602172851562e-05,6996
4,0,4,True,4,0,4,and_mcts_factor,4,5,parity_n4,0,0.26,,4,5.91278076171875e-05,6996
